"","nombre_promocional","nombre_urbanistico","latitud","longitud","direccion","municipio","provincia","comunidad_autonoma","tipologia_asentamiento_principal","tipologia_asentamiento_secundario","fuente","enlace_web","enlance_a_mapa_foto_aerea","fecha_autor_fuente_de_la_foto","padre_adoptivo","superficie_terreno","superficie_construida","suelo_ocupado_actual","viviendas_construidas","plazas_hoteleras_construidas","parcelas_uso_industrial_construidas","parcelas_uso_comercial_construidas","parcelas_uso_equipamiento_construidas","estado_actual","comentarios_otras_opciones","promotor","constructor","arquitecto_o_tecnico_redactor","descripcion_propiedad","ubicacion_codigo_ine_municipio","ubicacion_codigo_ine_provincia","uso","comentarios_otros","tipologia_edificatoria","comentarios_tipologia","edificabilidad_absoluta_planificada_o_aprobada","viviendas_aprobadas_en_planeamiento","plazas_hoteleras_aprobadas_en_planeamiento","parcelas_uso_industrial_aprobadas_en_planeamiento","parcelas_uso_comercial_aprobadas_en_planeamiento","parcelas_uso_equipamiento_aprobadas_planeamiento","numero_habitantes_previsto_planeamiento","numero_de_visitantes_previsto_aplicable_centros_de_ocio_planeamiento","convenio_urbanistico_planeamiento_fecha_licencia","plan_parcial_planeamiento_fecha_licencia","modificacion_pgou_planeamiento_fecha_licencia","proyecto_urbanistico_planeamiento_fecha_licencia","licencia_obras_planeamiento_fecha_licencia","otras_fechas_planeamiento_fecha_licencia","convenio_urbanistico_planeamiento_tecnico_redactor","plan_parcial_planeamiento_tecnico_redactor","modificacion_pgou_planeamiento_tecnico_redactor","proyecto_urbanistico_planeamiento_tecnico_redactor","licencia_obras_planeamiento_tecnico_redactor","otros_planeamiento_tecnico_redactor","convenio_urbanistico_politica","plan_parcial_urbanistico_politica","modificacion_urbanistico_politica","proyecto_urbanistico_politica","licencia_urbanistico_politica","otros_urbanistico_politica","recursos_interpuestos","sentencias_judiciales","n_fecha_sentencias","tribunal_dicta","fallo","hipoteca_cargas","cuantia_hipoteca","concurso_acreedores","entidades_financieras","figuras_proteccion_ambiental","nombre_figuras_proteccion_ambiental","zonificacion_nivel_proteccion","dominio_publico","enlaces_noticias","material_grafico","archivos_adjuntos","-","corpse_category","superficie_terreno_units","superficie_construida_units"
"114","Vilella CC ","Centro Comercial Vilella S.L.","39.14171081122386","-0.43629884719848633",,"Alzira - la Ribera Alta","Valencia","Comunidad Valenciana","DEO - Desarrollo ligado a instalaciones de ocio",,,,,,"Gerard Guerau",,,,,,,,,"Urbanización no terminada","Perquè la suposada glòria de beneficis que venien els promotora a quedat en ronya territorial i immobiliària que paguem i pagarem ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"115","Centro Sociocultural La Fábrica","La Fábrica","39.47585616238794","-0.41233062744140625","Calle Felipe Bellver, 43","Mislata","Valencia","Comunidad Valenciana",,,,"http://www.mislata.es/es/atencion-ciudadana/servicios-y-espacios-municipales/i/8775/99/centro-sociocultural-la-fabrica
",,,"Carmen Porter",,,,,,,,,"Edificación no terminada","La Fábrica es un edificio público inacabado, junto al Parque de Cabecera de Valencia y el Bioparc. Es muy grande y se utiliza la parte de las instalaciones finalizadas de centro sociocultural. Pero, la parte no terminada, está abandonada y no hay señales de acabarla. Tengo fotos, pero no sé donde ponerlas. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"116","Central Logística de Alberic","Central Logística de Alberic","39.127918"," -0.524874","Polígono Industrial Sector","Alberic","Valencia","Comunidad Valenciana","ZIP - Zona industrial vinculada a población",,,"http://www.levante-emv.com/comarcas/2015/04/12/top-recambios-compra-central-logistica/1250012.html, http://ccaa.elpais.com/ccaa/2013/07/21/valencia/1374436154_156029.html
",,,"Vicente Greus",15,,,,,,,,"Edificación no terminada","Comienzo de construcción Año 2008 Situado a unos 40km de Valencia capital. 110 muelles de carga. Propietario Vidal Europa. Importación artículos del hogar, sobre todo de Asia. Tiendas multiprecio. Supermercados Vidal. Cese de obras. Mediados de 2010. No hay datos fiables. Vendida una parte de las naves a Top Recambios (distribución nacional e internacional de piezas para el automóvil) a mediados de 2015. En enero de 2016 sigue paralizado e inacabado.",,,,,,,"Industrial Almacenaje",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"117","Parque Empresarial El Pla","Parque Empresarial El Pla","39.176277"," -0.458721","Parque Empresarial El Pla","Alzira","Valencia","Comunidad Valenciana","ZIA - Zona industrial aislada",,,"Dossier promocional: http://www.parqueempresarialelpla.com/ficheros/Dosier_EL_PLA_julio_2013_CAS_V2.pdf, 
Web oficial http://www.parqueempresarialelpla.com/, http://www.interempresas.net/Naves/Articulos/33858-El-Pla-d-Alzira-1-millon-de-metros-cuadrados-de-suelo-industral-para-La-Ribera.html",,,"Vicente Greus",100,,,,,,,,"Edificación terminada sin uso","Situado entre las poblaciones de Guadañar, Algemesí y Alzira, perteneciiendo al término municipal de esta última. 1.000.000 m2, siendo 636.000 m2 de parcelas  industriales. Hoy en día hay instaladas 3 empresas. (enero2016). Los promotores del Proyecto fueron: CLASICA URBANA, GRUPO LLOPIS, PAVASAL y BANCO DE VALENCIA. Empresa pública Gestora de Suelo Alzira: Gesual.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"118","Urbanización Costa Miño Golf"," sector SU RD Perbes - San Xoán de Vilanova","43.373929"," -8.193952","avda. Xario 110-A","Miño","A Coruña","Galicia","DEO - Desarrollo ligado a instalaciones de ocio","NEU - Nueva entidad urbana","Ruinas Modernas, Mediturban","http://www.juliaschulzdornburg.com/cas/costa-mino-golf","http://www2.ign.es/iberpix/visoriberpix/visorign.html?x=566216&y=4803134&zone=29&r=930&visible=PNOA;","IGN-PNOA fecha vuelo: 07-2014","Ruinas Modernas",157.7217,,"50%",,,,,,"Urbanización no terminada","edificación no terminada","Fadesa Inmobiliaria S.A ","fadesa",,"En la costa de Miño, a pie de las espectaculares playas con bandera azul de Miño y Perbes, magnífica urbanización con campo de golf de 18 hoyos, única en Galicia",,,"Residencial Colectivo","residencial unifamiliar","Vivienda unifamiliar pareada o adosada","viviendas colectivas aisladas en bloque abierto","301557","1282",,,,,,,"00/01/2001","00/05/2003",,,,,,"Gema García Díaz, Bernardino Hernández Poveda",,,,,,,,,,,,"En marzo de 2006 una sentencia judicial, ratificada por el Tribunal Supremo en 2010, falla a favor de los propietarios de los terrenos expropiados contra los acuerdos entre la promotora y el Ayuntamiento.
",,,,,,"2008- fadesa concurso de acreedores",,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"119","Mandeo 50","4524909NH6942S0001DY","43.280368727822825","-8.205923438072205","Mandeo 50, Betanzos. A Coruña","Betanzos","A Coruña","Galicia","NEU - Nueva entidad urbana",,,"https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCConCiud.aspx?UrbRus=U&RefC=4524909NH6942S0001DY&del=15&mun=9, http://www.laopinioncoruna.es/gran-coruna/2015/04/05/hitos-burbuja-vai-facendo/943477
",,,"Pablo Ibáñez",0.2713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"120","Poligono industrial El Recuenco","Sector ""El recuenco""","42.279405"," -1.933301","Nacional N-232 ","Calahorra","La Rioja","La Rioja","NEU - Nueva entidad urbana","TEA - Terciario aislado",,"http://www.nacionrotonda.com/2014/10/calahorra-la-rioja.html","https://www.google.es/maps/@42.2742868,-1.9266552,2780m/data=!3m1!1e3","Google, instituto geografico internacional","Javier Pérez Jiménez",110.2,,,,,"71.9 Ha",,"0","Edificación terminada sin uso",,"Gobierno de España a través de Sepes","Acciona Infraestructuras",,"Poligono totalmente en desuso","26036","26","Uso industrial y terciario, comercial.",,"Otros","Naves industriales",,"0","0","71.9 hectareas",,,,,"24/11/2007","30/06/2008",,,,,,,,,,,,,,,,,,,,,,,"51,000,000€",,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"121","Ensanche de Vallecas","UE5- PAU Ensanche de Vallecas","40.3599747","-3.584923","Poligono UZP0301 Valdecarros","Madrid","Madrid","Comunidad de Madrid","NEU - Nueva entidad urbana",,"Ruinas Modernas, 6000km",,"https://www.google.es/maps/place/40%C2%B021'42.5%22N+3%C2%B035'03.0%22W/@40.3599747,-3.584923,4412m/data=!3m1!1e3!4m2!3m1!1s0x0:0x0",,,71.7,,,"28058",,,,,"Urbanización terminada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"122","Monte de la Villa",,"40.3683816","-3.9315446","Urbanizacion Monte de la Villa M-5","Villaviciosa de Odón","Madrid","Comunidad de Madrid","NEU - Nueva entidad urbana",,"Ecologistas en Acción","http://www.6000km.org/localizaciones/residencial-francisco-hernando-pau-el-quinon-y-autopista-de-peaje-radial-4/","https://www.google.es/maps/place/Villaviciosa+de+Od%C3%B3n,+Madrid/@40.3683816,-3.9315446,1213m/data=!3m1!1e3!4m2!3m1!1s0xd4191d64928cf25:0x1e92effd6c47db61",,,,,,,,,,,"Urbanización terminada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"123","Municipal de Gestión Inmobiliaria de Alcorcón","Ensanche Sur de Alcorcón","40.3327816","-3.8301231","Barrio Ensanche Sur de Alcorcón","Alcorcón","Madrid","Comunidad de Madrid","NEU - Nueva entidad urbana",,"Ecologistas en Acción",,"https://www.google.es/maps/place/Alcorc%C3%B3n,+Madrid/@40.3327816,-3.8301231,2300m/data=!3m1!1e3!4m2!3m1!1s0xd41892d0db41ee3:0x56cefdbd91fdc2cf",,,198.14,,,"4132",,,,,"Edificación no terminada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"124","Rivas Vaciamadrid","sector SUS ""Vaciamadrid""","40.3819578","-3.5317531","Cristo de Rivas","Rivas Vaciamadrid","Madrid","Comunidad de Madrid","NEU - Nueva entidad urbana",,"Ecologistas en Acción","http://es.wikipedia.org/wiki/Ensanche_Sur_de_Alcorc%C3%B3n","https://www.google.es/maps/place/Cristo+de+Rivas,+28052+Madrid/@40.3819578,-3.5317531,2306m/data=!3m1!1e3!4m2!3m1!1s0xd423af0a83a21d9:0x48e8b9eac6098872",,,,,,,,,,,"Urbanización terminada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"125","Ventorro","Polígono ""Ventorro""","40.3931364","-3.8395284","Polígono Industrial Ventorro del Cano",,"Madrid","Comunidad de Madrid","ZIP - Zona industrial vinculada a población",,"Ecologistas en Acción",,"https://www.google.es/maps/place/Pol%C3%ADgono+Industrial+Ventorro+del+Cano/@40.3931364,-3.8395284,788m/data=!3m1!1e3!4m2!3m1!1s0x0000000000000000:0xcb9f027fcade8aa2",,,,,,,,,,,"Urbanización terminada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"126","Polígono en Parla",,"40.2300799","-3.7475361","Paseo de Nicaragua, Parla","Parla","Madrid","Comunidad de Madrid","ZIP - Zona industrial vinculada a población",,"Ecologistas en Acción",,"https://www.google.es/maps/place/Paseo+de+Nicaragua,+28983+Parla,+Madrid/@40.2300799,-3.7475361,735m/data=!3m1!1e3!4m17!1m14!4m13!1m3!2m2!1d-3.7483797!2d40.2304624!1m3!2m2!1d-3.7475999!2d40.2306609!1m3!2m2!1d-3.7451815!2d40.2311972!3e2!3m1!1s0xd41f55f114ea47f:0x984d78e7c56209c4",,,,,,,,,,,"Urbanización terminada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"127","Extensión de Arroyomolinos","Sectores “Valdefuentes”","40.2684587","-3.9101619","Arroyomolinos","Arroyomolinos","Madrid","Comunidad de Madrid","NOE - Nuevo desarrollo urbano",,"Nación rotonda",,"https://www.google.es/maps/place/Calle+de+Fuengirola,+16,+28939+Arroyomolinos,+Madrid/@40.2684587,-3.9101619,4861m/data=!3m1!1e3!4m2!3m1!1s0xd418d60291bdf5d:0xd3b84c8ce3cbc941!6m1!1e1?hl=es",,,,,,,,,,,"Edificación no terminada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"128","Remate norte del PAU Las Tablas","PAU II- 3","40.5117423","-3.6763732","Las Tablas","Madrid","Madrid","Comunidad de Madrid","NOE - Nuevo desarrollo urbano",,"Ecologistas en Acción","http://www.nacionrotonda.com/2013/05/arroyomolinos-madrid-2002-2012.html","https://www.google.es/maps/place/Calle+Castrillo+de+Polvazares,+4,+28049+Madrid/@40.5117423,-3.6763732,2062m/data=!3m1!1e3!4m2!3m1!1s0xd422becad06d58d:0x751f02d0fc7eae53!6m1!1e1?hl=es",,,,,,,,,,,"Proyecto tramitado (no iniciado)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"129","La Peluquera","Sector I - 5","40.2211609","-3.6423108","Calle P la Peluquera, Valdemoro","Valdemoro","Madrid","Comunidad de Madrid","ZIP - Zona industrial vinculada a población",,"Ecologistas en Acción",,"https://www.google.es/maps/place/Valdemoro,+Madrid/@40.2206722,-3.6376885,3080m/data=!3m1!1e3!4m2!3m1!1s0xd421ec0155a7707:0xe6f304a39ba292f!6m1!1e1?hl=es",,,110.9,,,,,,,,"Urbanización terminada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"130","Equipamiento General de Valdegrulla","AOE 00.01","40.5235345","-3.6785896","Poligono 17 Rustica, Madrid","Madrid","Madrid","Comunidad de Madrid","TIA - Infraestructuras de impacto territorial ",,"Ecologistas en Acción","https://sede.valdemoro.es/i-5-la-peluquera","https://www.google.es/maps/@40.5235345,-3.6785896,2320m/data=!3m1!1e3?hl=es",,,73.53,,,,,,,,"Proyecto tramitado (no iniciado)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ámbito urbanístico afectado por la sentencia del Tribunal Supremo de 27 de febrero de 2003, casada parcialmente por sentencia del Tribunal Supremo de 3 de julio de 2007.",,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"131","Manzanares Norte 1","APE 09.20","40.4744754","-3.7595636","Calle Níscalo, Madrid","Madrid","Madrid","Comunidad de Madrid","TIA - Infraestructuras de impacto territorial ",,"Ecologistas en Acción",,"https://www.google.es/maps/@40.4744754,-3.7595636,1553m/data=!3m1!1e3?hl=es",,,716.34,,,,,,,,"Proyecto tramitado (no iniciado)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ámbito urbanístico afectado por la sentencia del Tribunal Supremo de 27 de febrero de 2003, casada parcialmente por sentencia del Tribunal Supremo de 3 de julio de 2007.",,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"132","Manzanares Norte 2","APE 09.20","40.5278715","-3.7812731","Paseo el Pardo, Madrid","Madrid","Madrid","Comunidad de Madrid","TIA - Infraestructuras de impacto territorial ",,"Ecologistas en Acción",,"https://www.google.es/maps/@40.5278715,-3.7812731,1182m/data=!3m1!1e3?hl=es",,,716.34,,,,,,,,"Proyecto tramitado (no iniciado)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ámbito urbanístico afectado por la sentencia del Tribunal Supremo de 27 de febrero de 2003, casada parcialmente por sentencia del Tribunal Supremo de 3 de julio de 2007.",,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"133","Colonia Militar Cuatro Vientos","APE 10.08","40.3761854","-3.7971483","Calle Coraceros, Madrid","Madrid","Madrid","Comunidad de Madrid","NOE - Nuevo desarrollo urbano",,"Ecologistas en Acción",,"https://www.google.es/maps/@40.3761854,-3.7971483,508m/data=!3m1!1e3?hl=es",,,8.02,,,,,,,,"Proyecto tramitado (no iniciado)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ámbito urbanístico afectado por la sentencia del Tribunal Supremo de 27 de febrero de 2003, casada parcialmente por sentencia del Tribunal Supremo de 3 de julio de 2007.",,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"134","Instalaciones Militares de Campamento","APR 10.02","40.3888773","-3.7849509","Paseo de Extremadura, Madrid","Madrid","Madrid","Comunidad de Madrid","NOE - Nuevo desarrollo urbano",,"Ecologistas en Acción",,"https://www.google.es/maps/@40.3888773,-3.7849509,1340m/data=!3m1!1e3?hl=es",,,211.19,,,"10700",,,,,"Proyecto tramitado (no iniciado)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ámbito urbanístico afectado por la sentencia del Tribunal Supremo de 27 de febrero de 2003, casada parcialmente por sentencia del Tribunal Supremo de 3 de julio de 2007.",,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"135","La Dehesa","APR 19.04","40.3945539","-3.5938206","Calle Alberto Sánchez, Madrid","Madrid","Madrid","Comunidad de Madrid","ZIP - Zona industrial vinculada a población",,"Ecologistas en Acción",,"https://www.google.es/maps/@40.3945539,-3.5938206,1213m/data=!3m1!1e3?hl=es",,,74.03,,,,,,,,"Urbanización terminada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"136","Ciudad aeroportuaria y Parque de Valdebebas","UNP 4.01","40.4894887","-3.6159038","Parque Felipe VI, Madrid","Madrid","Madrid","Comunidad de Madrid","NOE - Nuevo desarrollo urbano","TIA - Infraestructuras de impacto territorial ","Ecologistas en Acción",,"https://www.google.es/maps/@40.4894887,-3.6159038,4851m/data=!3m1!1e3?hl=es",,,1157.89,,,"12500",,,,,"Urbanización terminada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"137","Desarrollo del Este-Ensanche de Coslada","UNP 4.04","40.4164304","-3.5365395","Hospital del Henares, Coslada","Coslada","Madrid","Comunidad de Madrid","NOE - Nuevo desarrollo urbano","TIA - Infraestructuras de impacto territorial ","Ecologistas en Acción",,"https://www.google.es/maps/@40.4164304,-3.5365395,1525m/data=!3m1!1e3?hl=es",,,81.07,,,,,,,,"Inicio de los trabajos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ámbito urbanístico afectado por la sentencia del Tribunal Supremo de 27 de febrero de 2003, casada parcialmente por sentencia del Tribunal Supremo de 3 de julio de 2007. Salvo el Hospital la urbanización está iniciada pero no terminada.",,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"138","Desarrollo del Este-Ensanche de San Fernando","UNP 4.05","40.4183453","-3.5289727","Carretera de San Fernando a Mejorada, Madrid","Madrid","Madrid","Comunidad de Madrid","NOE - Nuevo desarrollo urbano",,"Ecologistas en Acción",,"https://www.google.es/maps/@40.4183453,-3.5289727,554m/data=!3m1!1e3?hl=es",,,22.27,,,,,,,,"Proyecto tramitado (no iniciado)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ámbito urbanístico afectado por la sentencia del Tribunal Supremo de 27 de febrero de 2003, casada parcialmente por sentencia del Tribunal Supremo de 3 de julio de 2007.",,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"139","Remate Suroeste-Campamento","UNP 4.07","40.384615","-3.8112274","M-40, 345, Madrid","Madrid","Madrid","Comunidad de Madrid","NOE - Nuevo desarrollo urbano",,"Ecologistas en Acción",,"https://www.google.es/maps/@40.384615,-3.8112274,4287m/data=!3m1!1e3?hl=es",,,680.63,,,"7400",,,,,"Proyecto tramitado (no iniciado)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ámbito urbanístico afectado por la sentencia del Tribunal Supremo de 27 de febrero de 2003, casada parcialmente por sentencia del Tribunal Supremo de 3 de julio de 2007.",,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"140","Solana de Valdebebas","UNP 4.10","40.5047177","-3.6201591","Calle Prov Parque Valdebebas, Madrid","Madrid","Madrid","Comunidad de Madrid","NOE - Nuevo desarrollo urbano","DEO - Desarrollo ligado a instalaciones de ocio","Ecologistas en Acción",,"https://www.google.es/maps/@40.5047177,-3.6201591,2310m/data=!3m1!1e3?hl=es",,,110.67,,,"1106",,,,,"Proyecto tramitado (no iniciado)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ámbito urbanístico afectado por la sentencia del Tribunal Supremo de 27 de febrero de 2003, casada parcialmente por sentencia del Tribunal Supremo de 3 de julio de 2007.",,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"141","Fuente Fría Norte","UNP 4.11","40.5037091","-3.6424686","Camino Arroyo de Valdebebas, Madrid","Madrid","Madrid","Comunidad de Madrid","NOE - Nuevo desarrollo urbano",,"Ecologistas en Acción",,"https://www.google.es/maps/@40.5037091,-3.6424686,786m/data=!3m1!1e3?hl=es",,,19.35,,,"193",,,,,"Proyecto tramitado (no iniciado)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ámbito urbanístico afectado por la sentencia del Tribunal Supremo de 27 de febrero de 2003, casada parcialmente por sentencia del Tribunal Supremo de 3 de julio de 2007.",,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"142","Vallecas-La Atalayuela","UZP 1.04","40.3679792","-3.6388876","Poligono UZP0104 Atalayuela, Madrid","Madrid","Madrid","Comunidad de Madrid","ZIP - Zona industrial vinculada a población",,"Ecologistas en Acción",,"https://www.google.es/maps/@40.3679792,-3.6388876,2431m/data=!3m1!1e3?hl=es",,,170.45,,,,,,,,"Urbanización terminada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ámbito urbanístico afectado por la sentencia del Tribunal Supremo de 27 de febrero de 2003, casada parcialmente por sentencia del Tribunal Supremo de 3 de julio de 2007.",,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"143","Desarrollo del Este-Los Cerros","UZP 2.02","40.4023578","-3.5385635","Poligono UZP0202 los Cerros, Madrid","Madrid","Madrid","Comunidad de Madrid","NOE - Nuevo desarrollo urbano",,"Ecologistas en Acción",,"https://www.google.es/maps/@40.4023578,-3.5385635,2315m/data=!3m1!1e3?hl=es",,,468.9,,,"12849",,,,,"Proyecto tramitado (no iniciado)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ámbito urbanístico afectado por la sentencia del Tribunal Supremo de 27 de febrero de 2003, casada parcialmente por sentencia del Tribunal Supremo de 3 de julio de 2007.",,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"144","Desarrollo del Este-Los Ahijones","UZP 2.03","40.3880511","-3.5689037","Carretera Vicálvaro a Rivas del Jarama, Madrid","Madrid","Madrid","Comunidad de Madrid","NOE - Nuevo desarrollo urbano",,"Ecologistas en Acción",,"https://www.google.es/maps/@40.3880511,-3.5689037,3947m/data=!3m1!1e3?hl=es",,,546.69,,,"16982",,,,,"Urbanización no terminada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ámbito urbanístico afectado por la sentencia del Tribunal Supremo de 27 de febrero de 2003, casada parcialmente por sentencia del Tribunal Supremo de 3 de julio de 2007.",,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"145","Desarrollo del Este-Valdecarros","UZP 3.01","40.3523101","-3.6393023","Poligono UZP0301 Valdecarros, 97, Madrid","Madrid","Madrid","Comunidad de Madrid","NOE - Nuevo desarrollo urbano",,"Ecologistas en Acción",,"https://www.google.es/maps/@40.3523101,-3.6393023,4850m/data=!3m1!1e3?hl=es",,,1966.5,,,"49375",,,,,"Proyecto tramitado (no iniciado)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ámbito urbanístico afectado por la sentencia del Tribunal Supremo de 27 de febrero de 2003, casada parcialmente por sentencia del Tribunal Supremo de 3 de julio de 2007.",,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
